                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.83287,                 1.0217,                   1.28,                0.90572,                 1.1595,                 1.3057,                0.74695,                0.66386,                 0.7536,                0.58953,                0.78818,                 0.8435,                 1.2442,                0.84889,                 0.9377,                 1.2757,              0.0007822,              0.0007822,              0.0007822
                     69,                0.82746,                 1.0189,                 1.2725,                0.89814,                 1.1596,                  1.302,                0.69856,                0.70059,                0.75199,                0.58787,                0.77327,                 0.8499,                 1.2319,                0.83939,                0.94996,                 1.2609,              0.0007789,              0.0007789,              0.0007789
                     70,                0.82042,                 1.0203,                 1.2731,                0.89526,                 1.1468,                 1.2989,                0.78588,                0.64129,                 0.7477,                0.59193,                0.76654,                0.84915,                 1.2302,                0.83572,                0.93734,                 1.2695,              0.0007756,              0.0007756,              0.0007756
                     71,                0.82937,                 1.0176,                 1.2758,                0.89944,                 1.1581,                 1.3026,                0.74909,                0.65675,                0.74871,                0.59691,                0.76006,                0.86686,                 1.2284,                0.82347,                0.95546,                 1.2496,              0.0007723,              0.0007723,              0.0007723
                     72,                0.81183,                 1.0018,                 1.2638,                0.88565,                 1.1339,                 1.2902,                0.75666,                0.67458,                0.76476,                0.60769,                0.76449,                0.83647,                 1.2183,                0.82514,                0.92802,                 1.2551,               0.000769,               0.000769,               0.000769
                     73,                0.80929,                 1.0071,                 1.2637,                 0.8884,                 1.1399,                 1.2972,                0.74044,                0.68511,                0.76143,                0.60273,                0.75883,                0.81515,                 1.2248,                0.81098,                0.90364,                 1.2487,              0.0007657,              0.0007657,              0.0007657
                     74,                0.79979,                0.98359,                 1.2512,                0.87163,                 1.1014,                 1.2822,                0.69922,                0.71917,                 0.7581,                0.60191,                0.76616,                0.83007,                 1.2319,                 0.8261,                0.90797,                 1.2622,              0.0007624,              0.0007624,              0.0007624
                     75,                0.80519,                0.98137,                 1.2569,                0.87784,                 1.1072,                 1.2848,                0.70095,                0.71153,                0.75659,                0.60602,                0.75302,                0.83826,                 1.2143,                 0.8105,                0.91804,                 1.2496,              0.0007591,              0.0007591,              0.0007591
                     76,                0.80081,                0.98865,                 1.2491,                0.87876,                 1.1228,                 1.2766,                0.72634,                0.68028,                0.74737,                0.59727,                0.77094,                0.86483,                 1.2234,                0.81836,                0.95468,                 1.2502,              0.0007558,              0.0007558,              0.0007558
                     77,                0.79803,                0.97623,                 1.2443,                0.86881,                 1.1144,                 1.2722,                0.73822,                0.69767,                0.76487,                0.60953,                0.76005,                0.81207,                 1.2236,                0.81572,                0.90572,                 1.2586,              0.0007525,              0.0007525,              0.0007525
                     78,                0.78963,                0.97196,                 1.2475,                0.86513,                 1.1025,                 1.2811,                0.73697,                0.70755,                0.76829,                0.60762,                0.75759,                0.80656,                 1.2211,                0.82309,                0.89245,                 1.2569,              0.0007492,              0.0007492,              0.0007492
                     79,                0.78721,                0.96422,                 1.2463,                0.86285,                 1.0904,                 1.2763,                0.76273,                0.69643,                0.77208,                 0.6161,                0.75817,                0.79593,                 1.2196,                0.81104,                0.87282,                 1.2434,              0.0007459,              0.0007459,              0.0007459
                     80,                0.80173,                0.95917,                 1.2533,                0.87223,                 1.0953,                 1.2803,                0.75796,                0.69581,                0.76012,                0.60777,                 0.7549,                0.81521,                 1.2164,                0.80653,                0.91233,                 1.2471,              0.0007426,              0.0007426,              0.0007426
